low,1,F,165.1666667,2.91
low,1,M,160.85,1.52
low,1,M,146.4333333,1.57
low,1,F,168.05,2.89
low,1,F,172.55,3.06
low,1,M,148.7333333,1.46
low,1,F,162.5333333,2.99
low,1,M,143.4666667,1.46
low,1,F,185.0166667,2.86
low,1,F,162.65,2.99
low,1,F,155.7166667,2.77
low,1,M,148.6833333,1.45
low,1,M,151.2166667,1.59
low,1,M,176.7333333,1.33
low,1,F,149.0833333,2.95
low,1,M,143.2833333,1.7
low,1,F,211.2833333,2.53
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
low,1,na,na,na
high,1,M,157.4833333,0.89
high,1,M,144.2333333,1.07
high,1,F,159.25,1.32
high,1,M,144.35,0.98
high,1,M,176.35,0.68
high,1,M,148.9833333,0.81
high,1,M,164,0.65
high,1,F,184.8333333,1.3
high,1,M,157.25,0.89
high,1,M,157.75,0.54
high,1,M,170.4,0.76
high,1,M,148.5333333,0.93
high,1,M,153.45,0.85
high,1,F,168.0166667,1.11
high,1,F,169.1333333,1.31
high,1,M,156.2,0.78
high,1,F,158.3833333,1.14
high,1,M,145.0833333,0.91
high,1,F,167.1333333,0.97
high,1,M,170.35,0.45
high,1,M,144.6166667,0.97
high,1,F,175.0166667,0.99
high,1,M,148.6833333,0.99
high,1,M,154.0333333,0.8
high,1,M,148.6166667,0.93
high,1,M,148.5333333,0.79
high,1,F,185.5333333,1.39
high,1,M,152.4833333,0.69
high,1,M,164.2666667,0.9
high,1,M,136.6666667,1
high,1,M,146.2,0.93
high,1,M,144.8,0.91
high,1,M,144.0333333,1.07
high,1,F,173.6833333,1.15
high,1,F,196.5166667,1.14
high,1,M,219.5666667,0.52
high,1,F,188.5333333,1.09
high,1,M,217.2,0.67
high,1,F,194.4666667,0.93
high,1,M,176.15,0.63
high,1,F,196.0666667,1.09
high,1,F,192.6666667,1.02
high,1,F,196.6166667,1.01
high,1,F,209.2333333,0.82
high,1,M,195.45,0.74
high,1,F,196.4,0.86
high,1,na,na,na
high,1,F,214.3166667,0.92
high,1,na,na,na
high,1,F,230.6166667,0.91
high,1,F,263.0833333,1
high,1,F,289.6,na
high,1,F,305.3166667,0.69
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
high,1,na,na,na
low,2,M,183.65,na
low,2,M,168.8,na
low,2,M,186.7333333,na
low,2,M,192.4333333,na
low,2,M,170.8666667,na
low,2,M,169.65,na
low,2,M,175.0333333,na
low,2,M,187.25,na
low,2,M,188.0333333,na
low,2,M,168.05,na
low,2,F,163.1666667,2.08
low,2,F,164.7,2.51
low,2,F,166.9833333,1.89
low,2,F,150.6666667,2.44
low,2,F,149.6833333,2.21
low,2,M,147.0833333,na
low,2,F,150.9,2.27
low,2,na,na,na
low,2,M,146.7666667,na
low,2,F,164.6833333,2.07
low,2,M,145.5333333,na
low,2,F,168.7166667,2.84
low,2,na,na,na
low,2,M,144.0666667,na
low,2,M,160.8666667,na
low,2,M,172.2,1.16
high,2,M,179.8833333,na
high,2,M,178.7166667,na
high,2,M,179.6666667,na
high,2,F,188.0166667,1.84
high,2,M,176.6333333,na
high,2,M,168.6,na
high,2,F,168.85,1.16
high,2,F,154.15,1.45
high,2,M,170.7166667,na
high,2,M,140.7333333,na
high,2,M,171.6166667,na
high,2,na,na,na
high,2,M,142.2,na
high,2,M,145.3666667,na
high,2,M,170.7166667,na
high,2,F,160.0333333,1.45
high,2,M,143.95,na
high,2,M,144.1666667,na
high,2,M,150.6166667,na
high,2,M,145.3,na
high,2,M,143.55,na
high,2,F,169.8166667,1.23
high,2,M,151.9,na
high,2,F,158.8,1.24
high,2,M,142.4,na
high,2,M,152.25,na
high,2,M,142.55,na
high,2,F,167.9,1.2
high,2,M,164.7,na
high,2,F,164.3166667,1.4
high,2,F,157.8833333,1.25
high,2,M,154.5333333,na
high,2,F,169.6833333,1.39
high,2,F,173.3166667,1.22
high,2,F,148.75,1.79
high,2,M,154.2166667,na
high,2,M,141.7833333,na
high,2,F,171.8166667,1.15
high,2,na,na,na
high,2,na,na,na
high,2,M,152.1833333,na
high,2,F,163.7666667,0.86
high,2,M,157.5666667,na
high,2,F,163.8,1.25
high,2,F,161.3666667,na
high,2,M,147.7833333,na
high,2,M,159.8166667,na
high,2,M,152.3,na
high,2,M,164.7833333,na
high,2,F,163.35,1.27
high,2,F,169.1166667,1.28
high,2,F,166.6333333,1
high,2,F,155.0666667,1.14
high,2,F,179.1666667,1.15
high,2,F,172.0333333,1.19
high,2,F,167.1666667,1.22
high,2,F,181.45,0.95
high,2,F,181,0.96
high,2,M,253.35,na
high,2,F,283.8166667,1.08
high,2,F,287.3166667,1.14
high,2,F,365.05,0.92
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
high,2,na,na,na
low,3,M,170.4666667,na
